"","title","link","pubDate","Site","Lead","Symbol","Company"
"150","AstraZeneca PLC and Innate to collaborate in immuno-oncology","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3198703","2015-04-24 02:00:00","Reuters Key Development","AstraZeneca PLC and Innate to collaborate in immuno-oncology","AZN","AstraZeneca"
"151","AstraZeneca PLC reaffirms FY 2015 guidance","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3198735","2015-04-24 02:00:00","Reuters Key Development","AstraZeneca PLC reaffirms FY 2015 guidance","AZN","AstraZeneca"
"152","AstraZeneca PLC announces positive phase III results for two antibiotics, zinforo and investigational ceftazidime-avibactam","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3200305","2015-04-27 05:00:00","Reuters Key Development","AstraZeneca PLC announces positive phase III results for two antibiotics, zinforo and investigational ceftazidime-avibactam","AZN","AstraZeneca"
"153","AstraZeneca to invest in biologics manufacturing facility in Sweden","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3214330","2015-05-18 04:30:00","Reuters Key Development","AstraZeneca to invest in biologics manufacturing facility in Sweden","AZN","AstraZeneca"
"154","AstraZeneca to collaborate with Lilly on solid tumours clinical trial","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3221371","2015-05-29 02:00:00","Reuters Key Development","AstraZeneca to collaborate with Lilly on solid tumours clinical trial","AZN","AstraZeneca"
"155","AstraZeneca PLC announces phase III results for lesinurad in combination with febuxostat in tophaceous gout patients","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3228953","2015-06-13 09:00:00","Reuters Key Development","AstraZeneca PLC announces phase III results for lesinurad in combination with febuxostat in tophaceous gout patients","AZN","AstraZeneca"
"156","AstraZeneca to collaborate with the University of Michigan","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3230442","2015-06-17 02:02:00","Reuters Key Development","AstraZeneca to collaborate with the University of Michigan","AZN","AstraZeneca"
"157","Clearance of Innate Pharma co-development with AstraZeneca","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3241014","2015-07-07 01:04:00","Reuters Key Development","Clearance of Innate Pharma co-development with AstraZeneca","AZN","AstraZeneca"
"158","AstraZeneca PLC not importing enough of diabetes drug: Lee Pharma - Business Standard","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3242172","2015-07-07 20:00:00","Reuters Key Development","AstraZeneca PLC not importing enough of diabetes drug: Lee Pharma - Business Standard","AZN","AstraZeneca"
"159","AstraZeneca gets US FDA approval for IRESSA (gefitinib) tablets","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3243762","2015-07-13 14:27:00","Reuters Key Development","AstraZeneca gets US FDA approval for IRESSA (gefitinib) tablets","AZN","AstraZeneca"
"160","AstraZeneca PLC enters option agreement with Kyowa Hakko Kirin for commercialisation of benralizumab in Japan","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3245602","2015-07-16 02:05:00","Reuters Key Development","AstraZeneca PLC enters option agreement with Kyowa Hakko Kirin for commercialisation of benralizumab in Japan","AZN","AstraZeneca"
"161","Astrazeneca PLC AZ completes agreement with Tillotts for Entocort","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3246330","2015-07-17 02:05:00","Reuters Key Development","Astrazeneca PLC AZ completes agreement with Tillotts for Entocort","AZN","AstraZeneca"
"162","AstraZeneca PLC recommends an unchanged first interim dividend of $0.90","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3252843","2015-07-30 02:03:00","Reuters Key Development","AstraZeneca PLC recommends an unchanged first interim dividend of $0.90","AZN","AstraZeneca"
"163","Isis Pharmaceuticals Inc and AstraZeneca to discover and develop antisense drugs for cardiovascular, metabolic and renal diseases","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3254727","2015-08-03 02:00:00","Reuters Key Development","Isis Pharmaceuticals Inc and AstraZeneca to discover and develop antisense drugs for cardiovascular, metabolic and renal diseases","AZN","AstraZeneca"
"164","AstraZeneca Plc&#39;s Medimmune and Mirati Therapeutics partner on immuno-oncology combination in lung cancer","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3256450","2015-08-05 02:03:00","Reuters Key Development","AstraZeneca Plc's Medimmune and Mirati Therapeutics partner on immuno-oncology combination in lung cancer","AZN","AstraZeneca"
"165","AstraZeneca Plc&#39;s Medimmune enters into strategic cancer vaccine collaboration and license agreement with Inovio Pharmaceuticals","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3258934","2015-08-10 03:01:00","Reuters Key Development","AstraZeneca Plc's Medimmune enters into strategic cancer vaccine collaboration and license agreement with Inovio Pharmaceuticals","AZN","AstraZeneca"
"166","AstraZeneca PLC and Valeant to partner on brodalumab","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3268280","2015-09-01 02:04:00","Reuters Key Development","AstraZeneca PLC and Valeant to partner on brodalumab","AZN","AstraZeneca"
"167","AstraZeneca enters license agreement with Daiichi Sankyo","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3269173","2015-09-02 03:10:00","Reuters Key Development","AstraZeneca enters license agreement with Daiichi Sankyo","AZN","AstraZeneca"
"168","AstraZeneca PLC US FDA approves expanded indication for brilinta","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3269828","2015-09-04 03:00:00","Reuters Key Development","AstraZeneca PLC US FDA approves expanded indication for brilinta","AZN","AstraZeneca"
"169","AstraZeneca to invest in oncology bioinformatics collaboration-Reuters","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3270721","2015-09-08 02:28:00","Reuters Key Development","AstraZeneca to invest in oncology bioinformatics collaboration-Reuters","AZN","AstraZeneca"
"170","AstraZeneca buys manufacturing facility in U.S. from Amgen-Reuters","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3272378","2015-09-11 02:04:00","Reuters Key Development","AstraZeneca buys manufacturing facility in U.S. from Amgen-Reuters","AZN","AstraZeneca"
"171","AstraZeneca PLC diabetes drug combination faces delay after FDA rebuff - Reuters","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3287427","2015-10-15 20:00:00","Reuters Key Development","AstraZeneca PLC diabetes drug combination faces delay after FDA rebuff - Reuters","AZN","AstraZeneca"
"172","AstraZeneca PLC opens new $224 mln drug factory in Russia - Reuters","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3287484","2015-10-19 20:00:00","Reuters Key Development","AstraZeneca PLC opens new $224 mln drug factory in Russia - Reuters","AZN","AstraZeneca"
"173","Igenica Biotherapeutics enters into a strategic oncology research agreement with AstraZeneca PLC&#39;s MedImmune","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3291764","2015-10-28 08:30:00","Reuters Key Development","Igenica Biotherapeutics enters into a strategic oncology research agreement with AstraZeneca PLC's MedImmune","AZN","AstraZeneca"
"174","AstraZeneca PLC presents positive update on Lesinurad Renal Data in Gout Patients","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3297663","2015-11-09 08:00:00","Reuters Key Development","AstraZeneca PLC presents positive update on Lesinurad Renal Data in Gout Patients","AZN","AstraZeneca"
"175","Celgene in Collaboration with AstraZeneca Announce Initiation of Fusion Clinical Development Program in Immuno-Oncology","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3307881","2015-12-07 07:30:00","Reuters Key Development","Celgene in Collaboration with AstraZeneca Announce Initiation of Fusion Clinical Development Program in Immuno-Oncology","AZN","AstraZeneca"
"176","AstraZeneca PLC completes acquisition of ZS Pharma","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3314152","2015-12-16 19:00:00","Reuters Key Development","AstraZeneca PLC completes acquisition of ZS Pharma","AZN","AstraZeneca"
"177","AstraZeneca PLC and Moderna Therapeutics announce new collaboration to Co-Develop and Co-Commercialize Immuno-Oncology mRNA Therapeutics(tm)","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3319162","2016-01-11 06:59:00","Reuters Key Development","AstraZeneca PLC and Moderna Therapeutics announce new collaboration to Co-Develop and Co-Commercialize Immuno-Oncology mRNA Therapeutics(tm)","AZN","AstraZeneca"
"178","Incyte Corp and AstraZeneca Inc announce new lung cancer clinical trial collaboration","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3319165","2016-01-11 07:00:00","Reuters Key Development","Incyte Corp and AstraZeneca Inc announce new lung cancer clinical trial collaboration","AZN","AstraZeneca"
"179","AstraZeneca says US FDA grants Lynparza BTD for prostate cancer<U+200D><U+200B>","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3325224","2016-01-28 02:03:00","Reuters Key Development","AstraZeneca says US FDA grants Lynparza BTD for prostate cancer<U+200D><U+200B>","AZN","AstraZeneca"
"180","AstraZeneca PLC says Zurampic approved in EU for gout patients","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3333082","2016-02-19 02:00:00","Reuters Key Development","AstraZeneca PLC says Zurampic approved in EU for gout patients","AZN","AstraZeneca"
"181","AstraZeneca enters licensing deal with China Medical System","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3336612","2016-02-29 02:59:00","Reuters Key Development","AstraZeneca enters licensing deal with China Medical System","AZN","AstraZeneca"
"182","AstraZeneca to sell rights for constipation drug in Europe","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3337216","2016-02-29 19:00:00","Reuters Key Development","AstraZeneca to sell rights for constipation drug in Europe","AZN","AstraZeneca"
"183","AstraZeneca says FDA approves new indication for FASLODEX","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3338283","2016-03-02 18:57:00","Reuters Key Development","AstraZeneca says FDA approves new indication for FASLODEX","AZN","AstraZeneca"
"184","AstraZeneca acquires rights to Orexo OX-CLI project","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3344365","2016-03-17 03:00:00","Reuters Key Development","AstraZeneca acquires rights to Orexo OX-CLI project","AZN","AstraZeneca"
"185","AstraZeneca says launches and prices 2.2 bln euro of bonds","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3369333","2016-05-09 12:35:02","Reuters Key Development","AstraZeneca says launches and prices 2.2 bln euro of bonds","AZN","AstraZeneca"
"186","Weekly Biotech Report Part I – FDA To Decide On AstraZeneca plc (ADR) (NYSE ...","http://marketexclusive.com/weekly-biotech-report-part-astrazeneca-plc-adr-nyseazn-zs-9/6758/","2016-05-16 09:23:11","Market Exclusive","On May 26th, the FDA will issue its final decision on AstraZeneca PLC (ADR) (NYSE:AZN) drug ZS-9 for hyperkalemia, a condition that is caused by too much potassium in blood serum.","AZN","AstraZeneca"
"187","AstraZeneca receives complete response letter from U.S. FDA for sodium zirconium cyclosilicate","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3382659","2016-05-27 02:00:47","Reuters Key Development","AstraZeneca receives complete response letter from U.S. FDA for sodium zirconium cyclosilicate","AZN","AstraZeneca"
"188","AstraZeneca announces positive results in breast cancer trial","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3382656","2016-05-27 02:03:02","Reuters Key Development","AstraZeneca announces positive results in breast cancer trial","AZN","AstraZeneca"
"189","EU health agency recommends approval of new hepatitis C drugs","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3382994","2016-05-27 07:21:42","Reuters Key Development","EU health agency recommends approval of new hepatitis C drugs","AZN","AstraZeneca"
"190","Adherium says Astrazeneca will use its Smartinhaler platform in US clinical study&lt;ADR.AX&gt;&lt;AZN.L&gt;","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3390450","2016-06-13 18:16:55","Reuters Key Development","Adherium says Astrazeneca will use its Smartinhaler platform in US clinical study<ADR.AX><AZN.L>","AZN","AstraZeneca"
"191","AstraZeneca confirms CDC interim recommendation on flu vaccine","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3394966","2016-06-23 02:00:08","Reuters Key Development","AstraZeneca confirms CDC interim recommendation on flu vaccine","AZN","AstraZeneca"
"192","AstraZeneca says life sciences competitivess, drug access key after Brexit","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3395524","2016-06-24 02:00:06","Reuters Key Development","AstraZeneca says life sciences competitivess, drug access key after Brexit","AZN","AstraZeneca"
"193","U.S. FDA says continues to find benefits of flumist quadrivalent outweigh any potential risks","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3397191","2016-06-28 13:57:18","Reuters Key Development","U.S. FDA says continues to find benefits of flumist quadrivalent outweigh any potential risks","AZN","AstraZeneca"
"194","Valeant Pharmaceuticals announces new licensing arrangement for Brodalumab in Europe","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3399039","2016-07-01 02:00:00","Reuters Key Development","Valeant Pharmaceuticals announces new licensing arrangement for Brodalumab in Europe","AZN","AstraZeneca"
"195","Fibrogen announces receipt of $62 million license payment from Astrazeneca","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3402497","2016-07-08 04:00:00","Reuters Key Development","Fibrogen announces receipt of $62 million license payment from Astrazeneca","AZN","AstraZeneca"
"196","Astrazeneca&#39;s lung cancer drug meets primary endpoint in late-stage trial","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3406735","2016-07-18 02:00:08","Reuters Key Development","Astrazeneca's lung cancer drug meets primary endpoint in late-stage trial","AZN","AstraZeneca"
"197","AstraZeneca says new diabetes treatment gets European approval","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3407752","2016-07-19 09:15:02","Reuters Key Development","AstraZeneca says new diabetes treatment gets European approval","AZN","AstraZeneca"
"198","Astrazeneca and Moderna files first clinical trial application in RNA therapeutics","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3411568","2016-07-26 07:00:00","Reuters Key Development","Astrazeneca and Moderna files first clinical trial application in RNA therapeutics","AZN","AstraZeneca"
"199","Hutchison China, AstraZeneca amend savolitinib co-development agreement","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3415923","2016-08-01 02:21:58","Reuters Key Development","Hutchison China, AstraZeneca amend savolitinib co-development agreement","AZN","AstraZeneca"
"200","AstraZeneca plc (ADR) (AZN): Double Success in Oncology Portfolio Could Prove ...","http://www.thecountrycaller.com/65107-astrazeneca-plc-adr-azn-double-success-in-oncology-portfolio-could-prove-to-be-highly-lucrative","2016-08-08 10:37:30","TCC","AstraZeneca plc (ADR) (NYSE:AZN) has announced mutual collaboration with Rpositive, a Cambridge software firm, for the research and development of oncology molecules to treat different categories.","AZN","AstraZeneca"
"201","AstraZeneca says increased Moderna stake to 9 pct","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3423432","2016-08-10 09:41:39","Reuters Key Development","AstraZeneca says increased Moderna stake to 9 pct","AZN","AstraZeneca"
"202","AstraZeneca plc (ADR) (AZN) Got Breakthrough In The UK Market","http://www.thecountrycaller.com/37057-astrazeneca-plc-adr-azn-got-breakthrough-in-the-uk-market","2016-08-15 07:37:30","TCC","AstraZeneca plc (ADR) (NYSE:AZN) has huge expectations with its blood thinner drug Brilinta (ticagrelor) to generate revenue in the years to come.","AZN","AstraZeneca"
"203","Adherium to provide Smartinhalers to Astrazeneca Australia","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3427269","2016-08-16 07:00:00","Reuters Key Development","Adherium to provide Smartinhalers to Astrazeneca Australia","AZN","AstraZeneca"
"204","AstraZeneca plc (ADR) (NYSE:AZN) Cope with the Future Challenges?","http://www.thecountrycaller.com/52950-will-astrazeneca-plc-adr-anz-cope-with-the-future-challenges","2016-08-16 08:39:03","TCC","AstraZeneca's plc (ADR) (NYSE:AZN) is increasing its pace on multiple aspects to enhance its revenue in order to compete with the launching of generics and biosimilars in different therapeutic markets.","AZN","AstraZeneca"
"205","Lilly and Astrazeneca receive FDA fast track designation for AZD3293","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3430135","2016-08-22 06:00:00","Reuters Key Development","Lilly and Astrazeneca receive FDA fast track designation for AZD3293","AZN","AstraZeneca"
"206","AstraZeneca, Lilly receive FDA fast track designation for AZD3293","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3430162","2016-08-22 06:03:51","Reuters Key Development","AstraZeneca, Lilly receive FDA fast track designation for AZD3293","AZN","AstraZeneca"
"207","PFE, AZN: Pfizer Inc. to Buy AstraZeneca plc (ADR)&#39;s Antibiotic Business","http://investorplace.com/2016/08/pfizer-astrazeneca-antibiotic-pfe-azn/","2016-08-24 10:37:30","Investorplace.com","Pfizer Inc. (NYSE:PFE) has announced that it will be acquiring part of AstraZeneca plc (ADR)'s (NYSE:AZN) antibiotic business.","AZN","AstraZeneca"
"208","AstraZeneca announces results from SYMBICORT study","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3435716","2016-08-31 17:00:00","Reuters Key Development","AstraZeneca announces results from SYMBICORT study","AZN","AstraZeneca"
"209","Astrazeneca completes Aspen agreement","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3435911","2016-09-01 02:00:10","Reuters Key Development","Astrazeneca completes Aspen agreement","AZN","AstraZeneca"
"210","Aspen Pharmacare to buy exclusive rights to commercialise AstraZeneca&#39;s anaesthetics portfolio","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3435884","2016-09-01 02:00:46","Reuters Key Development","Aspen Pharmacare to buy exclusive rights to commercialise AstraZeneca's anaesthetics portfolio","AZN","AstraZeneca"
"211","Astrazeneca says asthma drug shows positive results in phase III trials","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3437011","2016-09-05 01:05:13","Reuters Key Development","Astrazeneca says asthma drug shows positive results in phase III trials","AZN","AstraZeneca"
"212","Will AstraZeneca plc&#39;s (ADR) (AZN) Asthma Molecule Diminish Patent Cliff Effects?","http://www.thecountrycaller.com/29031-will-astrazeneca-plcs-adr-azn-asthma-molecule-diminish-patent-cliff-effects","2016-09-05 13:55:00","TCC","AstraZeneca plc (ADR) (NYSE:AZN) is working on multiple options in order to be in the mainstream of the pharmaceutical industry.","AZN","AstraZeneca"
"213","Astrazeneca says to withdraw EU marketing application for cancer drug","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3443478","2016-09-21 06:11:25","Reuters Key Development","Astrazeneca says to withdraw EU marketing application for cancer drug","AZN","AstraZeneca"
"214","FDA approves Astrazeneca&#39;s blood-based companion diagnostic for Tagrisso (osimertinib)","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3447053","2016-09-29 07:25:17","Reuters Key Development","FDA approves Astrazeneca's blood-based companion diagnostic for Tagrisso (osimertinib)","AZN","AstraZeneca"
"215","Allergan Plc enters licensing agreement with Astrazeneca for worldwide rights to Medi2070","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3448322","2016-10-03 02:00:00","Reuters Key Development","Allergan Plc enters licensing agreement with Astrazeneca for worldwide rights to Medi2070","AZN","AstraZeneca"
"216","AstraZeneca plc (ADR) (NYSE:AZN) Inks License Deal With Allergan plc Ordinary ...","http://www.thecountrycaller.com/72812-astrazeneca-plc-adr-azn-inks-license-deal-with-allergan-plc-ordinary-shares-agn","2016-10-03 11:22:30","TCC","AstraZeneca plc (ADR) (NYSE:AZN) has finalized the licensing deal with Allergan in relation to the global rights of MEDI2070.","AZN","AstraZeneca"
"217","AstraZeneca exec: $3.5 bln Brilinta sales goal no longer attainable","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3448959","2016-10-04 03:21:55","Reuters Key Development","AstraZeneca exec: $3.5 bln Brilinta sales goal no longer attainable","AZN","AstraZeneca"
"218","Insmed announces worldwide license agreement with AstraZeneca for oral DPP1 inhibitor","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3449534","2016-10-05 06:55:00","Reuters Key Development","Insmed announces worldwide license agreement with AstraZeneca for oral DPP1 inhibitor","AZN","AstraZeneca"
"219","Here&#39;s Why AstraZeneca plc (ADR) (AZN) is Trimming its Drug Pipeline","http://smartstocknews.com/34064-heres-why-astrazeneca-plc-adr-azn-is-trimming-its-drug-pipeline/","2016-10-06 10:51:23","Sm<U+0430>rt St<U+043E>ck N<U+0435>ws","AstraZeneca PLC (ADR) (NYSE:AZN) is working on the idea of investing more in oncological ailments. In order to accomplish the task, it is handing over its molecules to other companies.","AZN","AstraZeneca"
"220","3 Big Stock Charts: Chesapeake Energy Corporation (CHK), AstraZeneca plc (ADR ...","http://investorplace.com/2016/10/3-big-stock-charts-chesapeake-energy-corporation-chk-astrazeneca-plc-adr-azn-and-groupon-inc-grpn/","2016-10-07 09:52:30","Investorplace.com","The market will spend much of this Friday digesting the latest jobs report and its implications on the upcoming interest rate decision.","AZN","AstraZeneca"
"221","Wil AstraZeneca plc (ADR) (AZN) Compete in Lung Cancer Treatment?","http://www.voiceobserver.com/90091-wil-astrazeneca-plc-adr-azn-compete-in-lung-cancer-treatment/","2016-10-10 08:45:00","The Voice Observer","AstraZeneca Plc (ADR) (NYSE:AZN) is working on the research and development (R&D) of oncology molecules, keeping in view the prospects of the pharmaceutical arena.","AZN","AstraZeneca"
"222","Allergan says FDA accepts supplemental new drug application for avycaz","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3451804","2016-10-11 08:01:00","Reuters Key Development","Allergan says FDA accepts supplemental new drug application for avycaz","AZN","AstraZeneca"
"223","Synairgen says AstraZeneca decided to stop phase IIa AZD9412 trial","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3452249","2016-10-12 02:00:16","Reuters Key Development","Synairgen says AstraZeneca decided to stop phase IIa AZD9412 trial","AZN","AstraZeneca"
"224","FDA accepts AstraZeneca&#39;s new Hyperkalaemia drug application for review","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3455613","2016-10-18 02:00:10","Reuters Key Development","FDA accepts AstraZeneca's new Hyperkalaemia drug application for review","AZN","AstraZeneca"
"225","AstraZeneca says Lynparza late-stage study succeeds","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3461031","2016-10-26 02:00:05","Reuters Key Development","AstraZeneca says Lynparza late-stage study succeeds","AZN","AstraZeneca"
"226","AstraZeneca plc (ADR) (AZN) Is Up Against Tesaro For Expanded US Ovarian ...","http://smartstocknews.com/24417-astrazeneca-plc-adr-azn-is-up-against-tesaro-for-expanded-us-ovarian-cancer-market/","2016-10-26 12:31:14","Sm<U+0430>rt St<U+043E>ck N<U+0435>ws","AstraZeneca plc (ADR) (NYSE:AZN) reported positive headline data on Wednesday for its Phase 3 'Solo2' trial, testing the PARP inhibitor Lynparza as a maintenance therapy in second-line, platinum-sensitive, BRCA-mutated ovarian cancer.","AZN","AstraZeneca"
"227","AstraZeneca says FDA puts partial hold on patient enrolment for head and neck cancer trials","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3463296","2016-10-27 11:51:26","Reuters Key Development","AstraZeneca says FDA puts partial hold on patient enrolment for head and neck cancer trials","AZN","AstraZeneca"
"228","AstraZeneca Canada announces Lynparza trial results","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3466870","2016-11-01 08:00:00","Reuters Key Development","AstraZeneca Canada announces Lynparza trial results","AZN","AstraZeneca"
"229","Earnings Whispers: AstraZeneca plc (ADR) (AZN) &amp; Himax Technologies, Inc. (ADR ...","http://www.thecountrycaller.com/21067-earnings-whispers-astrazeneca-plc-adr-azn--himax-technologies-inc-adr-himx","2016-11-09 11:41:15","TCC","AstraZeneca plc (ADR) (NYSE:AZN) and Himax Technologies, Inc. (ADR) (NASDAQ:HIMX) are set to report their third quarter of fiscal year 2016 (3QFY16) financial results before the opening bell on Thursday.","AZN","AstraZeneca"
"230","AstraZeneca CEO: drug price pressure won&#39;t go away under Trump","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3474648","2016-11-10 05:04:31","Reuters Key Development","AstraZeneca CEO: drug price pressure won't go away under Trump","AZN","AstraZeneca"
"231","Takeover Talk Inspires AstraZeneca plc (AZN) Option Bulls","http://www.schaeffersresearch.com/content/options/2016/11/11/takeover-talk-inspires-astrazeneca-plc-azn-option-bulls","2016-11-11 13:45:16","Schaeffers Research (blog)","AstraZeneca plc (ADR) (NYSE:AZN) stock volume is surging today, running in the 98th percentile of its annual range, as rumors swirl that fellow drugmaker Novartis AG (ADR) (NYSE:NVS) is considering buying the company.","AZN","AstraZeneca"
"232","Novartis AG (NVS) May Fancy AstraZeneca plc (AZN) for Takoever: Reports","http://smartstocknews.com/56404-novartis-ag-nvs-may-fancy-astrazeneca-plc-azn-for-takoever-reports/","2016-11-12 09:48:45","Sm<U+0430>rt St<U+043E>ck N<U+0435>ws","The American depository receipts of AstraZeneca plc (ADR) (NYSE:AZN) traded up over 1% on the New York exchange Friday, after a report suggested that the company may attract a takeover interest from Novartis AG (ADR) (NYSE:NVS).","AZN","AstraZeneca"
"233","Emerging Markets: Pfizer Inc. (PFE), AstraZeneca plc (ADR) (AZN) Leading the ...","http://smartstocknews.com/65935-emerging-markets-pfizer-inc-pfe-astrazeneca-plc-adr-azn-leading-the-pharmaceutical-arena/","2016-11-21 08:30:00","Sm<U+0430>rt St<U+043E>ck N<U+0435>ws","Giant pharma companies such as Pfizer Inc (NYSE:PFE) and others are working diligently on emerging markets to expand their drug portfolios.","AZN","AstraZeneca"
"234","AstraZeneca PLC (ADR) (AZN), Ranbaxy Laboratories Limited (ADR) (RBXLY) Wins ...","http://www.insidermonkey.com/blog/astrazeneca-plc-adr-azn-ranbaxy-laboratories-limited-adr-rbxly-wins-over-illegal-deal-case-490092/","2016-11-23 11:07:30","Insider Monkey (blog)","The 1st US Circuit Court of Appeals has recently ruled in favor of AstraZeneca plc (ADR) (NYSE:AZN) and Ranbaxy Laboratories Limited (ADR) (OTCMKTS:RBXLY) on a long-lasting class action lawsuit involving an illegal agreement between the two ...","AZN","AstraZeneca"
"235","Analyst Upgrades: Apple Inc., AstraZeneca plc, and Ctrip.com International, Ltd.","http://www.schaeffersresearch.com/content/news/2016/11/25/analyst-upgrades-apple-inc-astrazeneca-plc-and-ctrip-com-international-ltd","2016-11-25 09:15:00","Schaeffers Research (blog)","Analysts are weighing in on iPhone maker Apple Inc. (NASDAQ:AAPL), drugmaker AstraZeneca plc (ADR) (NYSE:AZN), and online travel stock Ctrip.","AZN","AstraZeneca"
"236","AstraZeneca PLC (ADR) (AZN) Relocating Jobs At UK Division","http://www.insidermonkey.com/blog/astrazeneca-plc-adr-azn-relocating-jobs-at-u-k-division-499733/","2016-12-06 09:48:45","Insider Monkey (blog)","AstraZeneca plc (ADR) (NYSE:AZN) plans to cut some back office jobs in the U.K. as the company works toward cost-cutting and operation consolidation.","AZN","AstraZeneca"
"237","Lilly, Astrazeneca to develop potentially disease-modifying Alzheimer&#39;s treatment","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3492833","2016-12-09 07:00:00","Reuters Key Development","Lilly, Astrazeneca to develop potentially disease-modifying Alzheimer's treatment","AZN","AstraZeneca"
"238","Analyst Upgrades: Biogen Inc, AstraZeneca plc, and Broadcom Ltd","http://www.schaeffersresearch.com/content/news/2016/12/09/analyst-upgrades-biogen-inc-astrazeneca-plc-and-broadcom-ltd","2016-12-09 09:29:03","Schaeffers Research (blog)","Analysts are weighing in on drug stocks Biogen Inc (NASDAQ:BIIB) and AstraZeneca plc (ADR) (NYSE:AZN), as well as Apple Inc. (NASDAQ:AAPL) supplier Broadcom Ltd (NASDAQ:AVGO).","AZN","AstraZeneca"
"239","Astrazeneca says durvalumab gets FDA’s priority review status in bladder cancer","http://www.reuters.com/finance/stocks/AZN/key-developments/article/3492973","2016-12-09 10:05:42","Reuters Key Development","Astrazeneca says durvalumab gets FDA’s priority review status in bladder cancer","AZN","AstraZeneca"
"240","AstraZeneca PLC (ADR) (AZN) Cuts Jobs, Signs New Collaboration With Eli Lilly ...","http://www.insidermonkey.com/blog/astrazeneca-plc-adr-azn-cuts-jobs-signs-new-collaboration-with-eli-lilly-and-co-lly-503600/","2016-12-09 10:09:43","Insider Monkey (blog)","Due to low revenue anticipation in the year ahead, AstraZeneca plc (ADR) (NYSE:AZN) had been forced to make tough decisions to remain consistent with its growth prospects.","AZN","AstraZeneca"
